uid_96bit_hex,stlink_sn
005100203531510738333932,066EFF515151727187052508
0057001E3531510738333932,066BFF515151727187052507
0060001F3531510738333932,066EFF515151727187042548
003D001E3531510738333932,066AFF515151727187042439
0062001F3531510738333932,066AFF515151727187052654
002D005F3531510738333932,0674FF515151727187042408
0032001E3531510738333932,066BFF515151727187042430
004200123531510738333932,066DFF515151727187053244
006600203531510738333932,066EFF515151727187042438
0055001F3531510738333932,0671FF515151727187052655
005000203531510738333932,0671FF515151727187052608
0035001E3531510738333932,0670FF515151727187042429
0051001F3531510738333932,066BFF515151727187042441
004100203531510738333932,066CFF515151727187053234
0044001F3531510738333932,066EFF515151727187052612
006C00203531510738333932,066DFF515151727187052650
004E00203531510738333932,066CFF515151727187052644
0068001D3531510738333932,0671FF515151727187052437
005B001F3531510738333932,066DFF515151727187042523
003E001E3531510738333932,0673FF515151727187042529
003F001E3531510738333932,066DFF515151727187042527
0039001E3531510738333932,066EFF515151727187042522
004C001F3531510738333932,0673FF515151727187052438
0041001E3531510738333932,0673FF515151727187052444
0029001E3531510738333932,066BFF515151727187052554
005F001F3531510738333932,066AFF515151727187052649
0054001F3531510738333932,066BFF515151727187052607
003C001E3531510738333932,066BFF515151727187052616
0041001F3531510738333932,066BFF515151727187052629
004400203531510738333932,066FFF515151727187053225
0057001F3531510738333932,066AFF515151727187052538
